,stripped,readable
26,ugandan outside kampala watch tv mean pay subscription tax pay tv provider south africa china dominant player industry,"So, for most Ugandans outside of Kampala, watching TV means paying a subscription tax to pay-TV providers in South Africa and China, the dominant players in the industry."
27,scare kampala public encour aged keen symp tom like diarrhea fever vomit dehydration decrease urine output report case imme diate treatment,"With the scare in Kampala, the public is being encour aged to be keen on symp toms like, diarrhea, fever, vomiting, dehydration and decreased urine output and report any case for imme diate treatment."
28,visit president show frequently grassy verge outside factory kampala soon become forest,Visiting presidents show up so frequently that the grassy verge outside its factory in Kampala will soon become a forest.
29,meanwhile another source claim otengo head mission addis lockdown find kampala learn kutesa letter social medium,"Meanwhile, another source claims Otengo (our head of mission in Addis), who the lockdown found in Kampala, also learnt about Kutesa s letter on social media."
30,however prepare comb street kampala look job limit degree secure formal employment might take forever happen,"However, as you prepare to comb the streets of Kampala looking for a job, don t limit that degree to only securing formal employment because that might take forever to happen."
31,agaliawamu gegalumaenyama kampala,"Agaliawamu Gegalumaenyama, Kampala."
32,besigye say security force besiege home raid party main office kampala something claim government often deny,"Besigye also says security forces also besieged his home and raided the party s main office in Kampala, something he claims the government has often denied."
33,end september midway fy receive shs million equivalent one month pay many ceo kampala,"By the end of September, which is about midway the FY, they had received only Shs34 million the equivalent of one-month pay for many CEOs in Kampala."
34,purpose long winding trip kilometre northwest kampala witness progress make us project strengthen resilience refugee host community absorb recover adapt sustainably shock,"The purpose of the long winding trip, 151 kilometres northwest of Kampala, was to witness the progress made in the US$500, 0000 project of strengthening resilience of refugees and the host communities to absorb, recover and adapt sustainably to shocks."
35,razor blade make lot news solomon sserwanja debut investigative story deadly gang kampala,Razor Blade made a lot of news when Solomon Sserwanja debuted his investigative story about deadly gangs in Kampala.
36,speak stanbic global financial market forum kampala economist tuesday dr fred muhumuza warn government acquire much expensive debt especially form government treasury,"Speaking at the 2023 Stanbic Global Financial Markets Forum in Kampala, Economist on Tuesday, Dr Fred Muhumuza warned that the government is acquiring too much expensive debt especially in form of government treasuries."
37,father call warn headmaster obote college come back lira come kampala central mark,"My father was calling him to warn the headmaster from Obote College not to come back to Lira, because he had come to Kampala for central marking."
38,florence atwongyeire kampala,"Florence Atwongyeire, Kampala."
39,game kampala people play, There are games in Kampala that people play.
40,happen anywhere even kampala disaster preparedness minister tarsis kabwegyere tell independent,"It can happen anywhere, even in Kampala, Disaster Preparedness minister Tarsis Kabwegyere told The Independent."
41,friend know last ten year business downtown kampala hardworke folk certain say many time import container merchandise china turkey import,"A friend I have known for the last ten years, and does business in downtown Kampala a hardworking folk for certain has said to me many times that where they once imported 50 containers of merchandise from China or Turkey, they now import 10 or 15."
42,however kampala give nature business area operation sacco within place work example taxi park boda boda stage market office among other,"However, in Kampala, given the nature of businesses, the area of operation or SACCOs will be within the place of work; for example taxi parks, boda boda stages, markets and offices, among others."
43,expressway toll road like kampala entebbe expressway provide road user easy link international airport beautiful home nile river bustling business capital kampala,"The same expressway which is a toll road like the Kampala Entebbe Expressway will provide road users with an easy link between the international airport and the beautiful home of the Nile River through the bustling business capital, Kampala."
44,way back funeral paul kavuma pass nairobi narrate whole story happen kampala london mutesa exile pass away,"On his way back after the funeral, Paul Kavuma passed through Nairobi and he narrated the whole story of what happened in Kampala and London when Mutesa was in exile before and after he passed away."
45,ms mukumbya speak reporter present strategic plan group stakeholder event hold dfcu head office kampala,Ms. Mukumbya was speaking to reporters after presenting the strategic plan to a group of stakeholders during an event held at dfcu head offices in Kampala.
46,kitutu spend nine day luzira prison follow remand april charge loss public property conspiracy defraud government anti corruption court kampala,Kitutu had spent nine days in Luzira Prison following her remand on April 6 when she was charged with loss of public property and conspiracy to defraud the government at the Anti-Corruption Court in Kampala.
47,christmas season sobi address journalist confess series murder robbery around kampala,"During the Christmas season, Sobi had addressed journalists and confessed to a series of murders and robberies around Kampala."
48,source privy meeting tell urn minister technocrat hold closed door ministerial meeting protea hotel kampala,Sources privy to the meeting told URN that the ministers and their technocrats held a closed-door ministerial meeting at Protea Hotel in Kampala.
49,unfortunate currently judicial officer line chief magistrate court kampala buganda road merely access live video conferencing leave court premise wherever situate,"It is, unfortunate that currently most judicial officers line up at the Chief Magistrate court of Kampala at Buganda Road merely to have access to live video conferencing and leave their court premises wherever they are situated."
50,chinese finance kampala entebbe expressway link capital kampala airport already use,"A Chinese financed Kampala Entebbe Expressway, linking the capital Kampala to the airport, is already in use."
51,imagine person earn kampala another earn amount new york,"Just imagine a person earning $1,000 in Kampala and another earning the same amount in New York."
52,issue nabakooba tell zaake bring hooligan kampala embarrass nabakooba funeral,"On the issue of Nabakooba, she told me that Zaake brought hooligans from Kampala to embarrass Nabakooba at the funeral."
53,bikorwomuhangi detain rru headquarters kireka kampala suburb,"Bikorwomuhangi was detained at RRU headquarters in Kireka, a Kampala suburb."
54,onesmus muwanga kampala,"Onesmus Muwanga, Kampala."
55,meeting thomas president museveni july meet blinken russian counterpart foreign minister sergei lavrov visit kampala,"Before, the meeting with Thomas, President Museveni had in July met with Blinken s Russian counterpart, Foreign Minister Sergei Lavrov who visited him in Kampala."
56,michael aboneka kampala,"Michael Aboneka, Kampala."
57,attract negative reputation strict enforcement urban beautification campaign kampala city,He attracted a negative reputation for his strict enforcement of the urban beautification campaign in Kampala city then.
58,indeed mantra go fail kampala blame,"Indeed, the mantra goes that if you fail in Kampala, you have yourself to blame."
59,judiciary fail account shs million pay officer registry high court kampala,Judiciary also failed to account for Shs 84 million paid to officers of the registry High court in Kampala.
60,commissioner sit headquarters kampala feed figure polling station use process result,These commissioners sit at the headquarters in Kampala and are fed with figures from polling stations which they use to process the results.
61,however lose independent last election something attribute corrupt leader gang fight protect large piece land kampala president museveni give pwd,"She, however, lost to an independent in the last elections, something she attributes to corrupt leaders who ganged up against her as she fought to protect a large piece of land in Kampala that President Museveni had given to PWDs."
62,ongwen say oola look like child kampala gulu child abduct," Ongwen, says Oola, should be looked at like any other child in Kampala or Gulu had that child been abducted."
63,number school age child engage petty trade local market street kampala appear rise,The number of school-age children engaged in petty trade in local markets and streets of Kampala appear to be on a rise.
64,go downtown kampala find entrepreneur huge turnover business equally people least education,Go downtown Kampala and you will find the entrepreneurs with huge turnover of businesses are equally people with the least education.
65,urban area especially kampala grow rapidly,"Our urban areas, especially Kampala, are growing rapidly."
66,dr byarugaba baterana executive director mulago national referral hospital kampala tell reporter nine people admit hospital ward die injury,"Dr Byarugaba Baterana, the executive director of the Mulago National Referral Hospital in Kampala told reporters that a further nine people who had been admitted at the hospital ward had died of their injuries."
67,know happen kampala kampala difficult plan plan previously,We all know what is happening in Kampala; Kampala is now very difficult to plan for because it was not planned for previously.
68,confirm secretary treasury keith muhakanizi remark diplomat economist international monetary fund meeting hold kampala october last year,"This is confirmed by the Secretary to the Treasury, Keith Muhakanizi s remarks to the diplomats and economists at the International Monetary Fund meeting held in Kampala in October last year."
69,anti corruption court kampala today remand luzira may,The Anti-Corruption Court in Kampala today remanded her to Luzira until May 3.
70,tell press conference kampala hepatitis b vaccination free charge government facility add wasteful give people one dose vaccine,He told a press conference in Kampala that Hepatitis B vaccination is free of charge in all government facilities adding that it s wasteful to give people more than one dose of the vaccine.
71,car get few kampala road impact overall tax collection,"Cars are getting fewer on Kampala roads, which will have an impact in the overall tax collections."
72,find tanzanian singer go nairobi kampala close,"You find Tanzanian singers cannot go to Nairobi or Kampala, they are closed."
73,speak journalist energy ministry headquarters kampala feb eng,"Speaking to journalists at the energy ministry s headquarters in Kampala on Feb. 24, Eng."
74,retreat unique activity get ambassador one spot regularly meet kampala deliberate group every year outside capital gyezaho say,"This retreat is a unique activity to get all ambassadors in one spot because they regularly meet in Kampala but only deliberate as a group once every year outside the capital, Gyezaho said."
75,already support youth kampala rukungiri,"We have already supported the youth of Kampala, Rukungiri etc."
76,metal cutting bend common user machine tool common user machine carpentry,"with metal cutting and bending common-user machine tools, the common-user machines for carpentry etc."
77,sunday hour dr hajj bulaimu muwanga kibirige popularly know bmk eponymous group bury public muslim cemetery create nkoowe near wakiso town hotel africana kampala,"On Sunday, a few hours before Dr Hajj Bulaimu Muwanga Kibirige, popularly known as BMK after his eponymous group, was buried at the public Muslim cemetery he created in Nkoowe near Wakiso town, I was at Hotel Africana in Kampala."
78,people kampala listen people peddle false hood say coronavirus exist," People in Kampala listen to people who peddle false hoods, some of who say Coronavirus does not exist."
79,nankabirwa reveal press conference uganda medium centre kampala address press matter relate forthcoming energy mineral week schedule november,"Nankabirwa revealed this during a press conference at the Uganda Media Centre in Kampala, where she addressed the pressing matters related to the forthcoming Energy and Minerals Week 2023, scheduled for November 13-18."
80,hence museveni non baganda kampala plus baganda course support prosperity many baganda businessman,"Hence, Museveni and other non-Baganda in Kampala, plus the Baganda of course, we are supporting the prosperity of many Baganda businessmen."
81,multi stakeholder platform workshop kampala,This was during the multi-stakeholder platform workshop in Kampala.
82,storm katwe kampala suburb know manufacture sort electric appliance especially locally make get first machine use onset top kitchen microwave sterilize tissue,"He stormed Katwe, a Kampala suburb known for its manufacture of all sorts of electric appliances, especially those locally made, to get the first machines he used on the onset on top of his kitchen microwave to sterilize his tissues."
83,minister finance matia kasaija present shs bn request parliament committee national economy operationalise eco bus project kampala central district,The minister of Finance Matia Kasaija has presented a $12m (Shs 140bn) request to parliament s committee on the national economy to operationalise the Eco-bus project in Kampala central district.
84,open day ugandan artist donald augustine wasswa aka waswad afriart kampala go local art lore one work display title controversially screw up,"The opening day of Ugandan artist Donald Augustine Wasswa aka Waswad at Afriart in Kampala has gone down in local art lore because of one of the works on display titled controversially as `My Screw ups 1, 2& 3 ."
85,official launch tororo girl school alumnus association hold september golf course hotel kampala first deputy prime minister minister east african community affair woman member parliament kamuli district kadaga chief guest,"The official launch of the Tororo Girls School Alumni Association was held on September 23, 2022 at Golf Course Hotel, in Kampala with First Deputy Prime Minister, Minister of East African Community Affairs and Woman Member of Parliament for Kamuli District Kadaga, as chief guest."
86,people pay wage employment increase much kampala western central region eastern northern region,"People in paid (wage) employment increased between 2002 and 2014, but much more in the Kampala, western, and central regions than in the eastern and northern regions."
87,whereas kampala arrest meet brother make call ensure justice serve good thing country system work innocent like gain freedom,"Whereas I was in Kampala when she was arrested, I met her brother and also made a few calls to ensure that justice was served, the good thing with those countries is that systems work and when you are innocent, like she was, you gain your freedom."
88,annet nabweteme resident kamombogga kampala think kalembe identify woman especially single mother take care family lockdown,"Annet Nabweteme, a resident of Kamombogga in Kampala thinks that Kalembe should identify women especially single mothers who took care of families during the lockdown."
89,however address journalist uganda medium center kampala minister lokeris say government already respond request give assurance work stop,"However addressing journalists at the Uganda Media Center in Kampala minister Lokeris said government had already responded to the request, giving assurance that work has not stopped."
90,bashir twesigye executive director civic response environment development cre kampala base civil society organisation say government disaster risk response remain inadequate,"Bashir Twesigye, the executive director of Civic Response on Environment and Development (CRED), a Kampala-based civil society organisation, says the government s disaster risk response remains inadequate."
91,average person kampala spend hour one half hour morning another two hour evening traffic jam every work day,An average person in Kampala spends 3.5 hours (one and a half hours in the morning and another two hours in the evening) in traffic jams every working day.
92,sort select one two kampala,We are sorting to select one or two for Kampala.
93,anna say money would buy land kampala,Anna said that money would only buy land in Kampala.
94,mr president today sanction deployment commando kampala,"And so, Mr President today sanctions deployment of commandos in Kampala."
95,study finding share launch tenth edition agricultural financial yearbook hold recently imperial royale hotel kampala,The study findings were shared at the launch of the tenth edition of the Agricultural Financial Yearbook that was held recently at Imperial Royale hotel in Kampala.
96,distribution net kampala wakiso expect start next month,Distribution of nets in Kampala and Wakiso is expected to start next month.
97,president yoweri museveni donate shs million towards construction uganda orthodox cathedral lubya hill rubaga division kampala,"President Yoweri Museveni has donated Shs 300 million towards the construction of the Uganda Orthodox Cathedral at Lubya Hill, in Rubaga Division in Kampala."
98,help former state minister agriculture hope mwesigye mbabazi reportedly meet delegate emerald hotel small establishment kampala coach pay amount shs ,"With the help of former State Minister for Agriculture Hope Mwesigye, Mbabazi reportedly met the delegates at Emerald Hotel, a small establishment in Kampala, coached them, and paid them amounts between Shs 500,000 1,000,000 each."
99,source say point president museveni embark silent mission reduce beijing mbabazi influence kampala,"Sources say from this point, President Museveni embarked on a silent mission to reduce the BeijingMbabazi influence in Kampala."
100,april hostility erupt hundred trader capital city kampala stage closed shop protest march along street brandish placard tell chinese leave country,"On April 19, the hostility erupted once again as hundreds of traders in the capital city, Kampala, staged a closed-shop protest and marched along some streets brandishing placards telling the Chinese to Leave our country."
101,look area like karamoja,But we are looking at areas like Karamoja.
102,low asthma rate record karamoja lango region,The lowest asthma rates are recorded in Karamoja and the Lango region.
103,akiriket traditional shrine elder karamoja meet invoke god issue affect land,Akiriket is a traditional shrine where elders in Karamoja meet and invoke their gods over issues affecting the land.
104,task force interview witness record statement number government official include minister karamoja establish involvement iron sheet saga,The task force will interview witnesses and record statements from a number of government officials including Minister for Karamoja to establish their involvement in the iron sheets saga.
105,arenger say even woman project available could benefit worried soar number unemployed youth karamoja cater soon region may slide back lawlessness,"Arenger says even if she is a woman and some of the projects available could benefit her, she is worried that if the soaring number of unemployed youths in Karamoja is not catered for soon, the region may slide back into lawlessness."
106,alupo note complete university first ever karamoja develop appropriate technology harness natural resource wealth creation integral human development,"Alupo further noted that when completed, the University, the first ever in Karamoja will develop appropriate technology to harness natural resources for wealth creation and integral human development."
107,placard condemn uganda people defense force updf manning security karamoja other attack rule government fail live promise secure ugandan,Some of the placards condemned the Uganda People s Defense Force-UPDF manning security in Karamoja while others attacked the ruling government for failing to live up to its promise of securing Ugandans.
108,kato story explore science particularly biotechnology help alleviate suffering karamoja pastoral community,"Kato s story explored how science, particularly biotechnology, can help alleviate the suffering of Karamoja s pastoral communities."
109,ssempijja point among key current updf task remain unfunded include ongoing operation shujja allied democratic force adf islamic rebel group drc require billion shilling disarmament exercise karamoja region dub salama kwa wote need billion shilling,"Ssempijja pointed out that among the key current UPDF tasks that remain unfunded include; the ongoing operation Shujja against Allied Democratic Forces ADF, an Islamic rebel group in the DRC which requires 21.5 billion Shillings and the disarmament exercise in Karamoja region dubbed salama kwa wote that needs 27.5 billion Shillings."
110,prof orach say karamoja sex procreation purpose almost every pregnancy intend hence low number,"Prof Orach says in Karamoja, sex is for procreation purposes and almost every pregnancy is intended, hence the lower numbers."
111,enanga warn witness ongoing investigation karamoja iron sheet scandal heed summon note invitation mean either prove allegation disprove,"Enanga warned witnesses in the ongoing investigation into the Karamoja iron sheets scandal to heed to their summons, noting that the invitation is meant to either prove the allegations against them or disprove them."
112,john lodungokol assistant commissioner crop production ministry agriculture tell urn sunday environmental degradation karamoja main cause flooding always hit region,"John Lodungokol, the Assistant Commissioner crop production in the Ministry of Agriculture told URN on Sunday that the environmental degradation in Karamoja was the main cause of flooding that always hits the region."
113,hope intervention would persuade people karamoja embrace disarmament abandon cattle rustle,It was hoped that the interventions would persuade the people of Karamoja to embrace disarmament and abandon cattle rustling.
114,however seem always look karamoja place deserve pity hence massive plan donate cheap iron sheet hear even reach need,"However, it seems we have always looked at Karamoja as a place that deserves pity hence the massive plan to donate cheap iron sheets that we hear didn t even reach those who needed them."
115,despite former powerhouse kololo ss old kampala ss lubiri ss pleasure abim karamoja region," Despite having former powerhouses such as Kololo SS, Old Kampala SS and Lubiri SS, it s a pleasure to have Abim from Karamoja region."
116,col peter akakunda brigade commander advise youth stop cattle raid peace development fully realize karamoja,"Col. Peter Akakunda, the 403 Brigade Commander advised the youth to stop cattle raids so that peace and development can fully be realized in Karamoja."
117,court temporarily halt hearing case minister karamoja karamoja affairs mary gorreti kitutu accuse cause loss public property allege involvement diversion iron sheet mean vulnerable people karamoja sub region,Court has temporarily halted the hearing of a case in which minister for Karamoja Karamoja Affairs Mary Gorreti Kitutu is accused of causing loss of public property after her alleged involvement in the diversion of iron sheets meant for the vulnerable people in Karamoja sub-region.
118,april year president museveni launch disarmament exercise karamoja deploy military carry follow spate murder theft thousand livestock mainly cattle,"In April, this year, President Museveni also launched a disarmament exercise in Karamoja and deployed the military to carry it out following a spate of murders and theft of thousands of livestock, mainly cattle."
119,first go karamoja different place work hard together other denmark eu alongside uganda human rights commission government civil society actor traditional leader even young warrior come situation gun could leave behind,"When I first went to Karamoja in 2003, it was a different place and we worked very hard together with others [Denmark and the EU] alongside the Uganda Human Rights Commission, the government, civil society actors, traditional leaders and even the young warriors to come to a situation where the gun could be left behind."
120,peter mugema iganga municipality mp say famine affect people constituency cite people die starvation government upscale intervention beyond karamoja,"Peter Mugema, the Iganga Municipality MP said famine is affecting people in his constituency too, citing that people are dying of starvation and that the government should upscale its interventions beyond Karamoja."
121,adjumani east mp james mamawi urge government invest production long term plan mitigate famine hunger karamoja reduce dependence syndrome relief food,"Adjumani East MP, James Mamawi, also urged government to invest in production as a long term plan to mitigate famine and hunger in Karamoja and reduce the dependence syndrome on relief food."
122,sseremba tell court activity fulfil procurement goat iron sheet distribute cost target beneficiary people karamoja,Sseremba told the court that all those activities had to be fulfilled through the procurement of goats and iron sheets to be distributed at no cost to the targeted beneficiaries or the people of Karamoja.
123,price cattle goat sheep chicken karamoja market triple head christmas festival,"The prices of cattle, goats, sheep s and chicken in Karamoja markets have tripled a head of Christmas festival."
124,vast majority fgm take place region karamoja sebei overall prevalence report,"The vast majority of FGM takes place in the regions of Karamoja and Sebei, where overall prevalence is reported to be 26.7%."
125,health programme especially immunization peace help population karamoja recover grow go minister defence million people,"Health programmes, especially, immunization and peace, have helped the population of Karamoja to recover and grow from 190,000 in 1980 when I went there as Minister of Defence to now about 1.2 million people."
126,december parliament pass supplementary budget worth billion shilling support various program karamoja,"In December 2021, the Parliament passed a supplementary budget worth 39 billion shillings to support various programs in Karamoja."
127,report show food insecurity karamoja attribute multiple factor include insecurity unpredictable weather pattern lead inadequate food production poor health hygiene sanitation practice,"The report shows that food insecurity in Karamoja can be attributed to multiple factors, including insecurity, unpredictable weather patterns leading to inadequate food production, and poor health, hygiene, and sanitation practices."
128,last week karamoja minister mary gorreti kitutu remand luzira prison anti corruption court allegedly divert iron sheet mean karamoja community empowerment programme,"Last week the Karamoja Minister, Mary Gorreti Kitutu was remanded to Luzira prison by Anti- Corruption Court for allegedly diverting iron sheets meant for the Karamoja community empowerment programme."
129,accord survey ecological christian organisation ngo advocate right karimojong land matter land karamoja liencese investor hold exploration mining lease range year,"According to the survey of 2019 by Ecological Christian organisation, an NGO advocating for the rights of the Karimojong on land matter, 98.7% of land in Karamoja have been liencesed and there are 178 investors holding exploration and mining leases ranging from 10 to 40 years."
130,commission conclude three day engagement community local leader karamoja today,The Commission is concluding its three day s engagement with the communities and local leaders in Karamoja today.
131,lugoloobi among three minister implicate theft iron sheet mean benefit vulnerable group karamoja sub region,Lugoloobi is among the three ministers implicated in the theft of iron sheets meant to benefit vulnerable groups in Karamoja sub-region.
132,tell government continue spend lot resource pacify karamoja short period stable peace return karamoja karimojong child forcefully take school government psychological disarmament say," Am telling you the government will continue spending a lot of resources pacifying Karamoja for a short period but stable peace will only return to Karamoja when Karimojong children are forcefully taken to School and government does psychological disarmament, he said."
133,propose open air museum locate iriiri sub county serve one stop center fossil exhibit allow visitor witness remarkable finding continue journey explore rest karamoja,"The proposed open-air museum, located in Iriiri Sub County, will serve as a one-stop center where fossils will be exhibited, allowing visitors to witness these remarkable findings before continuing their journeys to explore the rest of Karamoja."
134,press conference baryomunsi castigate police apprehend minister implicate karamoja iron sheet scandal hour produce court,"During the same press conference, Baryomunsi castigated police for apprehending ministers implicated in the Karamoja iron sheets scandal during hours they cannot be produced in court."
135,raise fund build latrine karamoja august,We are raising funds to build latrines in Karamoja this August.
136,mining development could real boon people karamoja bring job well security service basic infrastructure say daniel bekele africa director human right watch however still unclear people karamoja benefit mining government intend protect right process," Mining development could be a real boon to the people of Karamoja, bringing jobs and better security, services, and basic infrastructure, said Daniel Bekele, the Africa director at Human Rights Watch, However it is still unclear how the people of Karamoja will benefit, if at all, from mining, or how the government intends to protect their rights during this process."
137,happen first batch iron sheet procure karamoja early june cid operative start investigate kitutu agne nandutu state minister karamoja mismanagement region relief item,"It happened that the first batch of 12,000 iron sheets were procured for Karamoja but as early as June, 2022, CID operatives had started investigating Kitutu and Agnes Nandutu, the state minister for Karamoja, over mismanagement of the region s relief items."
138,nandutu seek criminal proceeding relation theft piece iron sheet mean empower vulnerable karamoja community halt constitutional court rule validity charge claim vague unclear broad enable defend,"Nandutu seeks criminal proceedings against her in relation to the theft of 2000 pieces of Iron sheets that were meant to empower vulnerable Karamoja communities be halted until the Constitutional Court can rule on the validity of the charge which she claims to be vague, unclear, and too broad to enable her defend her herself."
139,deliver homily archbishop paul ssemogerere say shock see medium report people karamoja region starve other survive leave yet part country food excess,"While delivering his homily, Archbishop Paul Ssemogerere said he was shocked to see media reports of people from the Karamoja region starving and others surviving on leaves yet in other parts of the Country food is in excess."
140,mind run karamoja end visit kidepo national park,My mind runs to Karamoja where I was at the end of 2016 visiting Kidepo national park.
141,dr paul okullo director nabuin zonal agricultural research development institute say government need popularize grow commercial tree karamoja region,"Dr. Paul Okullo, director at the Nabuin Zonal Agricultural Research and Development Institute said the government now needs to popularize growing of commercial trees in the Karamoja region."
142,appear nbs television last week minister state karamoja affair bududa district mp agnes nandutu mock national unity platform gesture donate food item karamoja region say seek cheap popularity,"While appearing on NBS television last week, Minister of State for Karamoja Affairs and Bududa District MP, Agnes Nandutu mocked the National Unity Platform s gesture to donate food items to the Karamoja region saying it was to seek cheap popularity."
143,good note karamoja region well represent," On a good note, Karamoja region was well represented."
144,motion table kumi woman mp monica amode behalf lango teso karamoja legislator,"The motion was tabled by Kumi Woman MP, Monica Amoding on behalf of Lango, Teso and Karamoja legislators."
145,graphite one dozen different mineral find karamoja accord department geological survey mine ministry energy mineral development,"But graphite is just one of over a dozen different minerals to be found in Karamoja, according to the Department of Geological Survey and Mines in the Ministry of Energy and Mineral Development."
146,brigadier gen joseph balikudembe updf rd division commander turn request say leadership karamoja accuse connive cattle rustler,"Brigadier Gen Joseph Balikudembe, the UPDF 3rd Division Commander turned down the request saying the leadership of Karamoja had been accused of conniving with cattle rustlers."
147,government last week say commit least shs bn next month towards hunger crisis karamoja,Government last week said it had committed at least Shs 135bn for the next 3 months towards the hunger crisis in Karamoja.
148,author head area office wfp karamoja,"The author is the head of Area Office for WFP, Karamoja."
149,land karamoja particularly important community depend nomadic pastoralism survival,"Land in Karamoja is particularly important to the community, which depends on nomadic pastoralism for survival."
