sentence,conditions,decisions,processes,proportions,other,equipment,labor,bird,weather,cost,time,seeding,credit,land,otherr
"At harvest time, the cooperative has to collect ALL the yield from farmers and store in headquarters; then they take all the corresponding credit from each farmer’s production and leave the remaining to each farmer. e.g. you might keep two bags, but you must pay back credit first. ",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Another issue is the access to mechanization services, e.g. for harvest; service providers are not always ready on time to provide the services farmers need.",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
There aren’t enough service providers with enough equipment; some equipment sometimes isn’t adapted to the land (e.g. the big harvesters won’t be able to handle small parcels).,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"For labor, you pay 1/10th of your production for a harvester.",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"It’s very fixed information for a changing climate, and the farmer knows this, but he can’t transfer that knowledge to SAED because he doesn’t actually know if it’s important — that is, you can’t tell if something weird is consequential until you see if the harvest is bad or not.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Buyers will ask if a farmer has access to a harvester, to ensure they can get help harvesting their land.",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Plant short duration seeds in dry season because there’s a short window for harvest.,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"The timing of harvest is linked to CC — because the start of the rainy season is coming earlier and earlier each year, they have to harvest before it arrives or the soil will be wet and the harvesters won’t be able to pass over the soil.",1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
They harvest early to protect themselves from the consequences of CC.,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
 But it is better to harvest early because you don’t want the birds to come at the end of the season and eat your harvest. ,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
SAED doesn’t provide information about whether they should harvest early or not — they just make the judgment themselves.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Farmers that harvest earlier tend to have better yields: 2 - 3 tons earlier.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"There’s a window for harvest in rice and if you harvest later, the yields decrease.",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"If you sow earlier and harvest at the ideal time, you also are more likely to get access to harvesting equipment.",1,0,1,1,0,1,0,0,0,0,1,1,0,0,0
"Even if they sow early, they might not have access to a harvester, so they might be waiting for a month to get access.",0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
The harvesters are also too big and if the soil is wet then they can’t easily move through.,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Investors are now starting to shift to the mini harvester.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Farmers that plant early and harvest early in one season can double crop.,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Access to harvesters is a financial problem.,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"Pape has seen this year some harvesters that are being financed by banks, but the one who owns the harvester has to pay back the loan.",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"If the farmer has a little area, the people who own the harvester won’t feel like going from plot to plot because transportation costs a lot (need a big car, need to pay for the gas).",1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"Harvesters will start in the North of the valley and do little plots, and then they go to Mauritania to work on 50 ha plots because they have to pay back loans quickly.",0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
"At the start of June there’s plenty available, but by July all the harvesters have gone.",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"Small coops and farmers lose out, but they can also do manual harvesting (very slow) or try to get a mini harvester.",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
They are specialized in this kind of work and have the reputation of doing it very fast; farmers prefer to hire migrants if they can’t get access to a big harvester.,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"When the rice matures, if the soil is water-saturated and the rice has started to go yellow, they know it’s ready to harvest. ",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"They will only harvest if they have the tools available, but they do know when they should harvest. ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Big shortage in migrant labor due to COVID — most farmers were 30 to 40 days late in harvesting and lost a lot of yields.,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"He knows of two coops who got paid back 50% and thinks this is fair since they harvested, after all.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Farmers will harvest at night to sell on the side.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"The farmer wants to pay back if he knows if he’ll get another loan, or if there are other advantages, e.g. getting a harvester loan, etc.",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
