,tokens
25,"['artificial', 'intelligence', 'expert', 'system', 'computer', 'system', 'emulate', 'decision', 'make', 'ability', 'human', 'expert']"
26,"['expert', 'system', 'design', 'solve', 'complex', 'problem', 'reason', 'body', 'knowledge', 'represent', 'mainly', 'rule', 'rather', 'conventional', 'procedural', 'code']"
27,"['first', 'expert', 'system', 'create', 'proliferate']"
28,"['expert', 'system', 'among', 'first', 'truly', 'successful', 'form', 'artificial', 'intelligence', 'ai', 'software']"
29,"['expert', 'system', 'divide', 'two', 'subsystem', 'inference', 'engine', 'knowledge', 'base']"
30,"['knowledge', 'base', 'represent', 'fact', 'rule']"
31,"['inference', 'engine', 'apply', 'rule', 'know', 'fact', 'deduce', 'new', 'fact']"
32,"['inference', 'engine', 'include', 'explanation', 'debug', 'ability']"
33,"['one', 'first', 'example', 'expert', 'system', 'mycin', 'application', 'perform', 'medical', 'diagnosis']"
34,"['mycin', 'example', 'domain', 'expert', 'medical', 'doctor', 'knowledge', 'represent', 'expertise', 'diagnosis']"
35,"['expert', 'system', 'first', 'develop', 'artificial', 'intelligence', 'laboratory', 'attempt', 'understand', 'complex', 'human', 'decision', 'make']"
36,"['base', 'positive', 'result', 'initial', 'prototype', 'technology', 'adopt', 'us', 'business', 'community', 'later', 'worldwide']"
37,"['stanford', 'heuristic', 'programming', 'project', 'lead', 'edward', 'feigenbaum', 'one', 'leader', 'define', 'develop', 'first', 'expert', 'system']"
38,"['early', 'day', 'expert', 'system', 'little', 'formal', 'process', 'creation', 'software']"
39,"['researcher', 'sit', 'domain', 'expert', 'start', 'program', 'often', 'develop', 'require', 'tool']"
40,"['inference', 'engine', 'time', 'application']"
41,"['expert', 'system', 'move', 'academic', 'prototype', 'deploy', 'business', 'system', 'realize', 'methodology', 'require', 'bring', 'predictability', 'control', 'process', 'build', 'software']"
42,"['essentially', 'two', 'approach', 'attempt', 'use', 'conventional', 'software', 'development', 'methodology', 'develop', 'special', 'methodology', 'tune', 'requirement', 'build', 'expert', 'system']"
43,"['many', 'early', 'expert', 'system', 'develop', 'large', 'consulting', 'system', 'integration', 'firm', 'andersen', 'consulting']"
44,"['firm', 'already', 'well', 'test', 'conventional', 'waterfall', 'methodology']"
45,"['method', 'andersen', 'train', 'staff', 'virtually', 'always', 'use', 'develop', 'software', 'client']"
46,"['one', 'trend', 'early', 'expert', 'system', 'development', 'simply', 'apply', 'waterfall', 'method', 'expert', 'system', 'development']"
47,"['another', 'issue', 'use', 'conventional', 'method', 'develop', 'expert', 'system', 'due', 'unprecedented', 'nature', 'expert', 'system', 'one', 'first', 'application', 'adopt', 'rapid', 'application', 'development', 'method', 'feature', 'iteration', 'prototype', 'well', 'instead', 'detailed', 'analysis', 'design']"
48,"['conventional', 'software', 'method', 'support', 'type', 'approach']"
49,"['final', 'issue', 'use', 'conventional', 'method', 'develop', 'expert', 'system', 'need', 'knowledge', 'acquisition']"
50,"['knowledge', 'acquisition', 'refer', 'process', 'gather', 'expert', 'knowledge', 'capture', 'form', 'rule', 'ontology']"
51,"['knowledge', 'acquisition', 'special', 'requirement', 'beyond', 'conventional', 'specification', 'process', 'use', 'capture', 'business', 'requirement']"
52,"['issue', 'lead', 'second', 'approach', 'knowledge', 'engineering', 'development', 'custom', 'methodology', 'specifically', 'design', 'build', 'expert', 'system']"
53,"['one', 'first', 'popular', 'methodology', 'custom', 'design', 'expert', 'system', 'knowledge', 'acquisition', 'documentation', 'structure', 'kad', 'methodology', 'develop', 'europe']"
54,"['kad', 'great', 'success', 'europe', 'use', 'united', 'states']"
